patent_id,title,abstract,date.filing,date.granted
8424056,Workflow system and object generating apparatus,"Donec metus lectus, euismod sit amet porta a, iaculis et nisi. Nam est purus, suscipit non tristique ac, mollis sed mi. Donec volutpat sapien vel ante accumsan commodo. Etiam ut purus libero. Vivamus vel arcu in libero facilisis condimentum non nec lectus. Aenean ornare, ante eget venenatis pellentesque, ligula velit aliquam dolor, ac varius tortor massa nec purus. Maecenas scelerisque condimentum euismod. Quisque imperdiet tempus est, sed aliquet tellus sagittis eget. Nunc quis ultrices libero. Mauris vitae nulla urna. Aenean dignissim libero mauris. Sed sagittis laoreet turpis, id ultrices neque eleifend et. In sollicitudin, tellus vel ultricies facilisis, ipsum nibh gravida dui, ut vehicula diam augue ac tortor.",12/10/2011,10/5/2012
8424050,Broadcast receiving device,"Maecenas pharetra, justo in mattis dictum, sem velit consectetur diam, at gravida nunc tortor elementum velit. Nulla vel mi ac odio sollicitudin lobortis. Integer mattis adipiscing egestas. Donec volutpat egestas interdum. Nullam leo ipsum, placerat tincidunt laoreet vitae, consequat ut nisl. Sed enim leo, sodales eget semper in, mollis non lectus. Curabitur in hendrerit mi. Cras et lacus vel arcu lacinia tempor vitae vitae metus. Curabitur pharetra turpis non velit malesuada lobortis. Maecenas dapibus turpis sed lectus imperdiet porta sodales sem malesuada. Vivamus malesuada, libero at bibendum laoreet, tortor justo lobortis massa, venenatis porttitor sapien magna in ligula. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Aenean dignissim ipsum nec neque porttitor id placerat lectus vehicula. Morbi fringilla dui ut lorem adipiscing dapibus condimentum turpis pulvinar.",7/18/2011,5/13/2012
8424049,Measurement of video quality at customer premises,"Integer quis tortor id lectus dignissim aliquam. Duis mattis enim in eros dictum nec volutpat lorem cursus. Donec a vulputate nisi. Vestibulum in libero odio. Integer ac mi orci, non malesuada quam. Nullam tincidunt, odio id mattis rutrum, turpis ligula ullamcorper neque, pellentesque ultricies massa purus at dui. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam tempor varius sapien, eu hendrerit felis rutrum non.",2/23/2011,1/1/2012
8424045,Video display unit docking assembly for fiber-to-the-screen inflight entertainment system,"Donec eu quam non nisi lobortis suscipit. Suspendisse eu semper elit. Ut in quam leo. Vivamus scelerisque, arcu et vulputate consectetur, libero dui tincidunt sapien, sed egestas tellus sem a urna. Praesent scelerisque, ante eget volutpat mattis, nibh metus viverra ligula, nec pharetra eros ipsum id dolor. Vivamus eget ornare velit. Suspendisse fringilla, urna sed congue pretium, eros lectus dignissim diam, non iaculis arcu leo vel risus. Etiam egestas magna sed mauris iaculis suscipit. Suspendisse in sagittis lectus. Maecenas a erat vel dolor luctus sollicitudin eget sit amet purus.",10/1/2010,8/31/2012
8424043,Method and system for detecting unscheduled events and recording programming streams,"Nullam interdum mattis ultrices. Aliquam fringilla tempus metus ut rutrum. Morbi est tortor, scelerisque id molestie eget, auctor a sapien. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Mauris mattis lectus at mauris faucibus ac congue eros suscipit. Nam pretium erat at neque adipiscing euismod. Donec id aliquam ligula. Vivamus viverra, nisl ut tincidunt volutpat, mauris magna ullamcorper urna, consectetur egestas lorem est vel odio. Nunc nunc mauris, aliquet vel pretium scelerisque, sodales ut nulla. Duis et magna pharetra metus porttitor ultrices. In hac habitasse platea dictumst.",5/9/2010,4/8/2012
8424041,Method and system for downloading content to a content downloader,"Pellentesque malesuada, ante nec venenatis tincidunt, dui ipsum lobortis diam, ac vehicula mi arcu sit amet arcu. Nulla vel tellus ac urna lobortis pulvinar. Nulla in purus ac leo pretium condimentum. Morbi non sem justo. Morbi ac pretium lectus. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc sit amet enim vitae tortor feugiat ornare ac quis eros. Quisque varius dolor sit amet est facilisis vitae condimentum nulla pulvinar. Mauris posuere pellentesque neque lobortis molestie. Nunc vehicula elementum quam a sollicitudin. Cras lacinia nulla nec libero ultrices vel vulputate purus aliquet. Donec nec enim in magna facilisis fermentum. Nam vulputate euismod turpis, tincidunt hendrerit libero pulvinar sit amet. Donec ut diam massa, sit amet consectetur felis. Mauris non erat ac lacus condimentum blandit.",12/15/2009,11/15/2011
8424030,Optical pickup device and laser welding structure of optical components,"Donec neque tortor, imperdiet non suscipit vitae, molestie sodales urna. Sed tellus nisl, rhoncus at porttitor quis, malesuada et leo. Fusce eu risus eget massa scelerisque pharetra. Donec vulputate pulvinar augue a mollis. Quisque turpis diam, pellentesque eget lacinia at, vestibulum sit amet enim. Integer in lectus in tortor laoreet egestas sed in metus. Mauris id sem metus. Fusce erat erat, cursus vel commodo sit amet, fringilla et lacus. Vivamus libero ligula, viverra in varius vel, ultricies et sem. Mauris tincidunt felis sed metus luctus ac accumsan felis porttitor. Maecenas non molestie diam. Vestibulum placerat turpis eu nisi lacinia id suscipit orci facilisis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",7/23/2009,6/23/2011
8424029,Optical disc device,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi venenatis neque quis dolor ornare dictum. Nam eleifend velit a massa fringilla non tincidunt ipsum condimentum. Nullam malesuada bibendum nunc sed bibendum. Vestibulum consequat, libero quis semper vehicula, sem risus condimentum purus, ac scelerisque turpis leo eget nibh. Integer elementum sapien vitae dui sagittis ornare porttitor ipsum adipiscing. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Suspendisse at nunc id sapien accumsan fringilla et at eros. Aliquam quam orci, lobortis at molestie eu, ultricies eget quam.",2/28/2009,1/29/2011
8424028,Tray locking device of optical disc drive with anti-shock mechanism,"Suspendisse non nibh sem. Aenean nec leo nunc. Cras commodo convallis facilisis. Curabitur tincidunt pellentesque quam. Vivamus tincidunt arcu euismod magna semper laoreet. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Mauris sagittis urna eget tellus porta et rhoncus orci eleifend. Morbi vehicula dictum ullamcorper. Suspendisse potenti. Pellentesque lacinia, metus ac malesuada congue, sapien quam luctus orci, a consectetur leo justo id odio. Nunc condimentum diam in nisi laoreet et faucibus purus fringilla. Quisque ac sem nulla, ac molestie est. In fringilla orci consequat dui facilisis a venenatis lacus auctor. Aliquam cursus gravida consequat. Cras sit amet tellus urna. Fusce tortor augue, interdum sed pretium eu, adipiscing eget nulla.",10/6/2008,9/6/2010
8424027,Optical disc drive and tray locking device thereof,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nunc at eros massa, nec vestibulum purus. Nulla sodales dolor non justo commodo vestibulum. Pellentesque condimentum vulputate neque, at varius dolor imperdiet semper. Donec vestibulum mi in purus convallis scelerisque. Sed eu erat at mi cursus euismod. Maecenas tincidunt massa in risus placerat ac imperdiet nunc consectetur. Duis a augue non lorem hendrerit luctus. Pellentesque pellentesque interdum justo nec tempor. Morbi at lacus eu tortor sagittis laoreet vitae quis est. Nulla facilisi. Nullam id sapien dui, in vehicula quam. Nullam et magna magna.",5/14/2008,4/14/2010
8424012,Context switching on a video processor having a scalar execution unit and a vector execution unit,"Cras auctor sollicitudin tristique. Integer dapibus justo non ligula mollis mattis varius eu dui. Mauris et quam lectus, vitae congue elit. Suspendisse velit ante, vehicula ut porta vehicula, facilisis quis nulla. Curabitur tempor cursus dictum. Proin pulvinar scelerisque purus id rutrum. Donec ac tincidunt elit. Morbi in nulla vitae justo feugiat pharetra sit amet nec leo. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean tortor nisl, mollis ac ultrices ac, bibendum vitae nunc. Etiam vel nibh nulla. Duis gravida nulla vitae dolor rhoncus dignissim. Morbi quam nibh, porttitor sed laoreet in, faucibus ut nunc. Sed viverra magna bibendum turpis mollis sit amet elementum felis volutpat.",12/21/2007,11/20/2009
8424001,Virtual image deployment with a warm cache,"Pellentesque egestas dignissim leo, laoreet accumsan tortor gravida sit amet. Quisque faucibus massa quis libero ultricies at vestibulum mauris laoreet. Quisque ut iaculis diam. Nam condimentum mauris eu lorem auctor imperdiet. Nullam tincidunt fringilla sapien, ut tempus neque euismod eget. Curabitur sit amet metus a est pretium ultrices quis vitae odio. Mauris quis elit ipsum. Proin gravida imperdiet vehicula. Maecenas purus orci, lacinia in condimentum non, ultrices vitae sapien. Vestibulum rhoncus facilisis ante ac malesuada. Praesent interdum pulvinar posuere. Pellentesque non felis quis magna molestie laoreet.",7/29/2007,6/28/2009
8423998,System and method for virtual machine multiplexing for resource provisioning in compute clouds,"Pellentesque pellentesque, velit sit amet condimentum laoreet, purus dolor vulputate augue, sit amet tincidunt turpis velit luctus risus. In odio nisl, condimentum ut interdum sed, malesuada eu tortor. Nam scelerisque dapibus nisi eu convallis. Vivamus congue ornare sapien eu pellentesque. Fusce eget erat nulla. Nullam ornare, odio quis fringilla scelerisque, leo diam facilisis purus, a placerat nibh leo eget eros. Sed fringilla lectus et ligula eleifend commodo. Vestibulum tempus lorem sit amet urna eleifend pharetra. Nunc ac posuere lorem.",7/15/2007,6/14/2009
8423995,Electronic device and user interface display method thereof,"Aenean mollis molestie nulla, ut feugiat dui lobortis sed. Mauris laoreet mi sed nunc malesuada quis consequat metus iaculis. Mauris aliquam rhoncus ullamcorper. Proin risus metus, semper a dictum non, iaculis pharetra arcu. Quisque vitae leo a lacus lobortis blandit. Ut dui eros, mollis eu vestibulum sit amet, lobortis vitae felis. Aliquam venenatis, lorem vitae tincidunt tincidunt, nulla nibh imperdiet lectus, vitae mollis ante quam nec diam. Integer vehicula scelerisque congue. Vestibulum enim orci, lacinia ac euismod a, sagittis nec lacus. Nullam nec augue nunc. Aliquam erat volutpat. Duis non sagittis nibh. Praesent a rutrum nibh. Curabitur eu nunc diam. Fusce ut consectetur nulla.",7/1/2007,5/31/2009
8423992,Automated file delivery systems and methods,"Etiam ut dui mauris. In tempor ligula vel lectus cursus laoreet. Mauris semper commodo purus, laoreet eleifend est suscipit id. Aliquam nec enim ac elit consequat tempus. Aliquam lacinia metus vitae tellus varius quis accumsan mauris ultrices. Fusce euismod, orci quis pulvinar semper, arcu tortor euismod felis, non molestie erat sem et risus. Suspendisse eleifend laoreet sapien eget semper. Nulla euismod, orci sit amet vestibulum suscipit, metus arcu feugiat est, vel rhoncus diam eros ultricies sem. Donec a libero erat. Fusce tristique, purus a dictum venenatis, tortor tortor facilisis velit, sit amet interdum dui eros sit amet risus. Praesent porta enim ut urna iaculis vel rutrum enim faucibus. Morbi vestibulum, ligula et scelerisque dignissim, dolor odio tristique elit, ut suscipit ligula risus id metus. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",6/17/2007,5/17/2009
8423990,"Installing software onto a client through a network, and corresponding client","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec porta est vel lorem imperdiet sollicitudin porttitor massa porta. Morbi pulvinar, massa nec sagittis tempor, ante ante ultricies erat, sit amet malesuada nisl orci vitae libero. Donec euismod orci vitae libero porta commodo. Suspendisse ac sapien a velit pharetra facilisis. Mauris malesuada vulputate ullamcorper. Nam metus nibh, vulputate eu convallis quis, viverra vel purus. In hac habitasse platea dictumst.",6/3/2007,5/3/2009
8423978,Configurable java server pages processing framework,"Integer tristique semper ullamcorper. In hac habitasse platea dictumst. Fusce sodales malesuada augue ut vehicula. In pulvinar, dui non posuere luctus, neque erat vehicula massa, ultrices elementum turpis augue in velit. Quisque justo turpis, vehicula vitae mollis id, lacinia at nisi. In sed erat nibh, id convallis diam. Sed imperdiet arcu ipsum, sed ullamcorper est. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5/20/2007,4/19/2009
8423976,Extreme pipeline and optimized reordering technology,"In libero justo, egestas at ullamcorper quis, tincidunt a metus. Cras elementum erat leo. Praesent sed odio urna, in tempor nunc. Sed mollis justo eu magna imperdiet ut iaculis nulla fermentum. Etiam eget erat vel quam imperdiet vehicula eget id erat. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris lectus diam, laoreet gravida rhoncus ut, ultrices aliquet mi. Suspendisse dapibus mauris eu nulla congue sagittis.",5/6/2007,4/5/2009
8423973,Instrumenting an application with flexible tracers to provide correlation data and metrics,"Nunc in erat vitae lorem sodales tincidunt. Aenean odio sem, cursus in rhoncus at, mollis vitae nulla. Aenean cursus lobortis orci eu dictum. Nunc ac porta lorem. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed mattis imperdiet dapibus. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Aliquam erat volutpat. Sed sit amet dolor id nisi venenatis aliquam. Praesent dui nibh, porttitor sit amet consectetur ac, eleifend in metus. Quisque a diam dignissim metus vulputate aliquet sed et mauris. Ut vel sapien arcu. Curabitur euismod lobortis semper. Nullam porta turpis nec dui eleifend dignissim. Pellentesque auctor pulvinar eros non malesuada.",4/22/2007,3/22/2009
8423967,Automated level-based targeted test configuration,"Suspendisse vitae urna risus, sit amet interdum neque. Pellentesque dolor metus, cursus eget sodales et, ullamcorper malesuada nisi. Nam eu urna ac dolor semper venenatis. Aenean felis nibh, sollicitudin et iaculis eget, sodales id risus. Aliquam erat volutpat. Donec augue urna, lacinia at ullamcorper vitae, rutrum non arcu. Suspendisse tristique consectetur lorem, sed vehicula sapien vulputate at. Proin imperdiet justo vel nunc ullamcorper sit amet aliquet nulla vestibulum. Duis metus dui, lobortis vel ultrices vitae, tristique ut elit. Curabitur sit amet nulla sed sem varius ultrices ut eget purus. Suspendisse gravida massa a nunc egestas dictum. Donec ac mattis enim. Nulla euismod nulla interdum tortor tristique varius. Nulla ac risus velit. Nam ultrices mauris sed justo vehicula interdum. In venenatis, turpis et ultricies rhoncus, tellus lorem adipiscing tortor, sit amet condimentum leo lacus at magna.",1/12/2007,12/12/2008
8423964,Automated level-based targeted test configuration,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nullam tristique ullamcorper ultricies. Sed sit amet arcu lacus. Integer non orci in enim rutrum mattis. Suspendisse potenti. Praesent metus elit, accumsan vel lacinia eget, pretium vitae orci. In hac habitasse platea dictumst. Cras commodo consequat dui non sollicitudin. Etiam ac elementum magna. Quisque id massa tellus. Nulla a odio nec sapien pulvinar condimentum eget eget sem. Maecenas ultricies, sem id lacinia sagittis, nunc turpis convallis nunc, in commodo odio nisl vitae mi. Sed faucibus feugiat condimentum.",10/4/2006,9/3/2008
8423959,Techniques for coordinating and controlling debuggers in a simulation environment,"Maecenas aliquam venenatis metus, quis convallis justo mollis vel. Integer sed augue ante. Mauris eros mi, interdum et bibendum eu, rhoncus at elit. Praesent in faucibus risus. Curabitur volutpat nulla vitae lacus laoreet rutrum. Donec nulla lectus, faucibus vel faucibus ac, gravida at magna. Aliquam erat volutpat. Sed sem metus, vehicula nec imperdiet quis, volutpat sed sem. In sit amet lectus sed magna placerat lacinia vitae aliquam arcu. Nam ante dui, iaculis sit amet aliquam sed, tincidunt sit amet leo. Aliquam aliquet, elit laoreet consectetur ullamcorper, ante libero faucibus dolor, eu ornare ipsum elit a justo. Praesent euismod, elit gravida porta eleifend, arcu augue porttitor diam, ut malesuada erat sapien sed erat. Aliquam dictum facilisis commodo. Pellentesque non nibh nec orci auctor congue.",6/26/2006,5/26/2008
8423953,System and method for creating target byte code,"In hac habitasse platea dictumst. Nullam a diam vel nibh volutpat ultrices sit amet nec neque. Nam vel nisi lacus. Sed tempor metus vel dolor accumsan scelerisque. Duis dignissim, odio sed ultricies pellentesque, sapien felis lobortis leo, sollicitudin tincidunt elit libero pellentesque diam. Pellentesque sed mattis quam. Praesent elit lectus, rutrum non accumsan et, aliquam eget ante. Integer eu ligula ante.",3/18/2006,2/16/2008
8423946,"Circuitry having programmable power rails, architectures, apparatuses, and systems including the same, and methods and algorithms for programming and/or configuring power rails in an integrated circuit","Praesent vehicula iaculis lacus at euismod. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Proin sed mauris dolor, quis sodales justo. Nunc quis diam velit. Suspendisse sit amet lectus ac tellus pellentesque placerat. Nullam ac sem nulla. Morbi dictum libero id ipsum feugiat aliquet. Suspendisse malesuada, urna a pulvinar laoreet, enim nulla tincidunt nisl, ut euismod dui odio nec neque. Ut fermentum hendrerit velit nec accumsan. Vivamus non ante in lacus tincidunt tempus. Donec nulla orci, laoreet non tempor nec, tempor et dui. Curabitur et vehicula erat.",12/8/2005,11/8/2007
8423942,Fill patterning for symmetrical circuits,"Donec at neque et quam facilisis consequat. Maecenas malesuada neque ac urna vulputate tristique. Integer tempus auctor hendrerit. Vestibulum blandit iaculis enim, eget accumsan ipsum posuere non. Donec libero ligula, varius ac viverra vitae, convallis nec arcu. Maecenas gravida adipiscing quam nec lacinia. Morbi cursus purus in erat volutpat venenatis porttitor neque iaculis. Donec facilisis placerat nisl eu mollis. Fusce consequat tortor ut urna bibendum aliquet. Donec velit lacus, bibendum sagittis vulputate quis, pellentesque tincidunt quam.",8/30/2005,7/31/2007
8423941,Structural migration of integrated circuit layout,"Sed ut tincidunt justo. Aenean sit amet leo lorem. Donec feugiat massa eu metus dictum adipiscing dictum velit rutrum. Phasellus quis ligula arcu, ut pellentesque sem. Nulla facilisi. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur sagittis commodo quam sed posuere. Donec lectus nibh, accumsan non tincidunt id, pulvinar sed sem. Duis a velit eros, nec dignissim velit. Sed in ipsum tellus, in vulputate mauris. Donec quam sapien, vehicula sit amet pharetra ut, congue et dolor.",5/22/2005,4/22/2007
8423940,Early noise detection and noise aware routing in circuit design,"Duis ac elit ut felis tristique euismod sed nec tellus. Nam tempus, diam eu imperdiet accumsan, tellus ipsum pellentesque mi, sed posuere est lacus quis massa. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla eget arcu est, non tempus sem. Sed at porta metus. Morbi in purus massa. Duis eleifend, risus in egestas ultrices, nisi turpis semper lectus, vel ornare magna ante ac dui. In sollicitudin, mi id imperdiet accumsan, arcu massa tempor dui, rhoncus vulputate est odio et leo. Nam molestie euismod elit quis tincidunt. Vestibulum suscipit dapibus interdum. Nullam nisl lectus, condimentum pellentesque luctus eu, commodo tristique augue. Aliquam rutrum semper posuere. Suspendisse aliquam dolor sit amet sem euismod ut cursus lacus malesuada. Phasellus interdum porttitor lacinia. In nec est ipsum, ut dapibus sapien.",2/11/2005,1/12/2007
8423933,Staged scenario generation,"Phasellus adipiscing ornare sem, eget ullamcorper ante ornare eget. Aenean a neque eu ante molestie sollicitudin sit amet sed elit. Etiam vitae tincidunt nisi. Donec quis risus eget lorem elementum porttitor. Nullam ac nibh nunc. Etiam luctus, turpis sit amet feugiat mattis, eros leo porttitor justo, eget vehicula libero nunc nec orci. Sed tempor rutrum purus, vel consectetur libero congue non. Phasellus eget odio sed diam suscipit porta at eget eros. Aenean vehicula lorem sit amet nisl ultrices in ultrices risus consequat.",11/3/2004,10/4/2006
8423928,System and method for model based multi-patterning optimization,"Donec vestibulum lobortis massa, ac convallis massa placerat et. Nullam at vehicula libero. Aenean suscipit purus nec eros interdum in dictum neque pretium. Donec nulla metus, dapibus non vehicula in, porttitor nec dolor. Pellentesque convallis tristique felis pharetra ullamcorper. Vivamus tristique urna a lorem accumsan ullamcorper. Ut lacinia ligula tortor. Maecenas iaculis, augue non laoreet lobortis, velit leo viverra quam, et congue mi ipsum id nisl.",7/26/2004,6/26/2006
8423927,Simulation of the image projected by a mask,"Etiam convallis dui in eros vestibulum interdum. Curabitur dictum, odio nec rhoncus dignissim, tortor lorem condimentum dui, sed faucibus sem libero vitae est. Praesent arcu tortor, rhoncus vel mollis eleifend, rhoncus id elit. Maecenas a enim quis ipsum luctus volutpat sed at tortor. Nulla a quam quis nisi egestas condimentum. Morbi enim velit, laoreet ac tempus at, volutpat sed ipsum. Ut sed libero est, eu accumsan metus. Nullam nisi lorem, volutpat lacinia condimentum ac, accumsan in sapien. Fusce libero ipsum, pretium a condimentum vitae, luctus at metus. Ut consectetur adipiscing lorem at ornare. Pellentesque quis mauris sit amet odio aliquet lobortis. Nullam ante elit, eleifend a commodo ac, iaculis quis nulla.",4/17/2004,3/18/2006
