grant_id,funding.agency,funding.amount,date.start,date.end,title,abstract
100026,BBB,96000,10/18/2004,4/5/2010,Aenean porta felis nec libero cursus dignissim.,"Donec bibendum accumsan leo id malesuada. In hac habitasse platea dictumst. Vestibulum dui lectus, scelerisque id sagittis a, pretium eu dui. Duis sit amet posuere augue."
100027,ABC,13000,11/29/2004,4/28/2010,Aenean rutrum felis et magna cursus mollis.,Fusce rutrum lorem magna. Phasellus ac dolor lorem. Vestibulum eget leo lacus. Ut elementum velit sit amet diam tincidunt sit amet porttitor nulla vulputate. Morbi elementum leo vitae risus iaculis viverra consectetur tortor ultricies. Aliquam erat volutpat. Pellentesque dictum sem ut mi hendrerit tempus.
100028,DDD,92000,12/8/2004,4/29/2010,Aenean sodales nunc eu tellus dapibus sit amet consectetur leo facilisis.,Morbi eu mauris libero. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas.
100029,NSF,55000,12/27/2004,5/5/2010,Aenean sollicitudin leo at odio malesuada aliquet.,"Etiam aliquet, arcu et facilisis semper, justo dui fermentum lacus, a commodo nulla magna ultrices urna. Cras feugiat fringilla nisl ut mollis. Vivamus vitae volutpat orci. Nunc eu mi nibh, vel ultrices libero."
100030,BBB,53000,1/18/2005,6/30/2010,Aenean suscipit velit mollis elit suscipit eget fermentum eros ornare.,"Donec in turpis lectus, eu tempor nisl. Aenean consequat est ut metus vestibulum tristique. Donec facilisis ipsum nec augue ullamcorper et sagittis nulla luctus. Ut in justo a ipsum porta venenatis."
100031,ABC,91000,2/28/2005,9/16/2010,"Aenean ultrices laoreet lacus, at porta est luctus vel.","Maecenas ullamcorper, arcu non varius ultrices, magna augue pellentesque augue, at consequat ante nisl non ligula. Duis tempor sem at felis dictum vehicula. Fusce lectus lacus, blandit ullamcorper pretium hendrerit, egestas sit amet dui. Praesent velit augue, laoreet ac congue luctus, commodo non risus."
100032,DDD,21000,4/5/2005,10/1/2010,Aenean volutpat enim sit amet mi fringilla imperdiet.,"In hac habitasse platea dictumst. Nullam posuere metus a urna imperdiet vitae cursus ligula egestas. Duis vitae nisi sapien, ut vehicula felis. Donec dui elit, laoreet id interdum sit amet, facilisis quis nunc. Proin ac arcu urna. Ut diam diam, viverra quis aliquam ut, ultrices et turpis. Vivamus et sem turpis, eu fermentum purus."
100033,EFG,39000,4/27/2005,10/8/2010,Aenean volutpat mi eu ipsum auctor sit amet pretium nisl interdum.,"Sed eget mi urna, sed rutrum ipsum. Sed cursus tortor vitae mauris fringilla fringilla elementum arcu dictum. Mauris eget erat quam. Cras id libero non neque venenatis egestas. Integer commodo est imperdiet ante dapibus gravida. Fusce lacus ipsum, dictum eu fringilla aliquet, adipiscing id quam. Donec faucibus, nunc vitae fermentum mollis, tortor nulla cursus libero, id tincidunt massa enim vel nisl."
100034,Dept of Education,11000,5/24/2005,10/28/2010,Aliquam dictum nibh eu lectus euismod aliquam.,"Nulla aliquet, velit in tristique imperdiet, augue lacus porta ipsum, quis placerat justo eros at urna. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit."
100035,BBB,85000,6/14/2005,11/29/2010,Aliquam faucibus felis et sem tristique feugiat.,"Nam in ligula ipsum. Phasellus vestibulum lacinia nisl id ultrices. Phasellus tincidunt, lacus et sagittis vestibulum, diam diam fermentum sem, ut congue sapien ligula sed neque."
100036,ABC,31000,7/12/2005,12/10/2010,"Aliquam feugiat dolor diam, in congue massa.","Maecenas non velit massa, eu bibendum dolor. Nulla facilisi. Sed adipiscing nisl a eros sodales eget venenatis odio tempus."
100037,DDD,44000,9/12/2005,1/27/2011,"Aliquam hendrerit malesuada magna, eu vehicula lorem porttitor sit amet.","Vivamus in elit eget sem vestibulum aliquam sit amet quis nisi. Duis et ipsum arcu, vitae adipiscing leo. Praesent mattis massa id risus pulvinar a mollis nunc aliquet. Cras non ante augue. Integer neque orci, lacinia a elementum et, congue in sem. Nulla porta nulla quis elit pellentesque ac fermentum enim eleifend. Pellentesque turpis lacus, eleifend quis pulvinar at, viverra vitae nulla."
100038,NSF,78000,10/11/2005,3/7/2011,"Aliquam laoreet ultricies lectus, ut interdum felis posuere vel.","Integer ac neque magna, sed facilisis ipsum. In hac habitasse platea dictumst. Maecenas ut nunc ligula, nec commodo tortor. Donec quis augue vitae felis porttitor ultrices. Sed ac odio tortor. Vestibulum suscipit ultrices sapien, non mattis arcu dapibus tincidunt. Mauris ac lorem id neque volutpat mollis a nec elit. Suspendisse sodales sagittis condimentum. Integer pharetra vestibulum ipsum at elementum. Mauris et tincidunt leo."
100039,BBB,8000,10/13/2005,3/15/2011,"Aliquam malesuada euismod nisi, non rutrum enim imperdiet ut.","Vestibulum accumsan orci vel turpis semper molestie. Donec enim arcu, tristique quis pretium ut, mollis a neque. Nunc venenatis eros ac enim fermentum in blandit tellus sagittis. Vivamus scelerisque nisl sit amet turpis vulputate interdum adipiscing justo sollicitudin. Vestibulum quis massa quis ligula sagittis pulvinar in id elit. Sed id elit scelerisque mi tempus suscipit ac vitae elit."
100040,ABC,50000,10/26/2005,3/18/2011,Aliquam non lorem vel tellus feugiat gravida.,"Ut convallis laoreet dolor a elementum. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Aliquam nec tristique massa. Fusce libero lectus, adipiscing faucibus condimentum id, condimentum in nulla."
100041,DDD,39000,12/26/2005,3/28/2011,Aliquam non orci vel urna ornare hendrerit ut molestie urna.,"Suspendisse potenti. Donec eros velit, tempor ut porta non, eleifend facilisis orci. Mauris et justo turpis. Nulla facilisi. Lorem ipsum dolor sit amet, consectetur adipiscing elit."
100042,EFG,58000,3/8/2004,6/9/2011,Aliquam placerat elit sit amet massa molestie pretium pellentesque est volutpat.,"Etiam porttitor ligula massa, ut viverra leo. Aenean pulvinar, nulla ut ultricies porta, urna elit eleifend felis, ullamcorper venenatis odio libero vitae tortor."
100043,Dept of Education,40000,4/27/2004,6/17/2011,Aliquam posuere nisl eget quam feugiat sed molestie libero facilisis.,"Duis ac hendrerit velit. In scelerisque laoreet volutpat. Vestibulum lacinia pharetra feugiat. Fusce ultricies lacus quis dui aliquet auctor. Vivamus commodo, mi vel laoreet luctus, sem purus vulputate eros, at interdum quam magna sed sapien. Quisque massa diam, porta vitae tincidunt et, sagittis ut elit. Phasellus ut malesuada nibh. Quisque rutrum vulputate lacus. Donec auctor mattis lorem sed aliquet."
100044,BBB,40000,5/25/2004,7/6/2011,Aliquam quis nunc ac felis laoreet sodales sit amet vel orci.,"Nulla lobortis ante et sapien gravida elementum. Duis malesuada convallis vestibulum. Quisque elit tortor, bibendum at tincidunt ac, consequat sit amet lacus. Donec quis risus mi. Sed sed lectus nulla, eget lacinia quam."
100045,ABC,21000,6/24/2004,8/18/2011,"Aliquam sed enim neque, sit amet egestas diam.","Cras tincidunt pulvinar varius. Nullam lacus mi, ultricies ut sodales dictum, ullamcorper eu orci. Aliquam tempus urna vel turpis luctus ultricies. Nunc at neque massa, sit amet sodales arcu. Vestibulum scelerisque porta tortor, vitae eleifend risus eleifend ut. Sed sit amet nibh eget est viverra aliquet."
100046,DDD,94000,8/19/2004,8/23/2011,Aliquam sit amet turpis sit amet enim laoreet fringilla.,"Sed in iaculis turpis. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer eget quam justo, eget varius leo. Curabitur sit amet leo urna."
100047,NSF,36000,8/26/2004,9/23/2011,"Aliquam ut sem elit, vitae ultricies massa.","Duis neque dui, suscipit eget bibendum vitae, luctus in magna. Vivamus vel lectus risus. Donec nibh urna, congue quis tempus eu, tincidunt vitae ipsum. Sed convallis tempor diam et consequat."
100048,BBB,86000,9/3/2004,11/25/2011,"Aliquam vel turpis libero, sit amet sollicitudin quam.","Aliquam lectus sem, placerat vitae posuere vel, rhoncus sit amet nunc. Nulla condimentum mauris quis urna sagittis a euismod magna pharetra. Pellentesque tortor nisi, euismod sagittis porttitor ut, ullamcorper bibendum augue. Aliquam eu risus magna. Etiam bibendum lorem id erat fermentum tristique."
100049,EFG,91000,9/30/2004,12/28/2011,Aliquam vulputate purus non mauris sagittis consectetur.,"Curabitur justo lectus, gravida et ornare eu, hendrerit eu erat. Curabitur ornare scelerisque enim et vehicula. Cras ligula nunc, iaculis cursus placerat sed, porta at velit. Donec sollicitudin neque et nunc blandit ut interdum justo consectetur. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Vestibulum justo mauris, cursus non suscipit eget, facilisis ut odio."
100050,Dept of Education,9000,10/18/2004,3/8/2012,Cras a diam in neque vehicula varius.,"Morbi auctor, dui a laoreet dignissim, purus ipsum dictum velit, a ultrices elit ipsum eu dolor. Etiam egestas lobortis erat ac suscipit. Fusce non condimentum lectus."
100051,BBB,26000,11/29/2004,3/30/2012,Cras a nibh vitae diam elementum interdum.,"Pellentesque consectetur pulvinar dolor et interdum. Proin convallis, justo non gravida elementum, diam felis pulvinar urna, ut feugiat orci dui quis tortor. Etiam in interdum leo."
100052,ABC,28000,12/8/2004,5/29/2012,"Cras bibendum ornare nibh, nec pellentesque erat scelerisque id.","Curabitur volutpat felis ut odio scelerisque ac pellentesque justo laoreet. Nulla facilisi. In gravida, massa nec accumsan rutrum, massa risus feugiat ante, non lacinia nunc neque sit amet libero. Curabitur et dui augue, molestie dapibus sem. Proin tortor enim, tincidunt pellentesque rutrum ac, viverra vel ante. Integer luctus lectus vitae ligula semper elementum."
100053,DDD,76000,12/27/2004,6/11/2012,Cras cursus velit id ante facilisis euismod.,"Ut vel dui in justo tincidunt hendrerit bibendum ut urna. Duis varius euismod pellentesque. Suspendisse venenatis dui eu ante volutpat ut dignissim risus porttitor. Sed a sapien nulla, et scelerisque quam."
100054,NSF,90000,1/18/2005,8/22/2012,"Cras eget arcu ligula, porttitor placerat ipsum.","In vitae odio et urna ultrices gravida. Integer vitae justo id velit iaculis condimentum. Morbi dapibus, odio a imperdiet feugiat, arcu neque interdum urna, a aliquam odio orci at sem. Quisque varius egestas orci, vitae porttitor lorem porttitor vitae. Aenean quis augue eget ligula posuere ultricies sed in lacus. In vulputate magna suscipit diam ultrices tempor."
100055,BBB,82000,2/28/2005,9/10/2012,"Cras fringilla varius augue, eget auctor eros auctor vitae.","Pellentesque ornare ullamcorper sagittis. Ut sed consequat ligula. Curabitur a tellus vitae enim sodales vulputate eget vel purus. Nullam sollicitudin nibh ipsum. Integer tellus enim, euismod at feugiat a, elementum sed velit. Suspendisse varius nulla eu risus dapibus dictum."
100056,DDD,53000,4/5/2005,9/11/2012,Cras mattis enim eget ante bibendum faucibus.,"Nunc egestas sodales leo, eget semper odio faucibus at. Nam magna risus, mollis sit amet tempus ut, molestie eget justo. Pellentesque dictum sem vitae ante posuere dapibus."
100057,EFG,97000,4/27/2005,9/26/2012,"Cras nec quam massa, vitae lobortis est.","Sed sapien mauris, lacinia quis consectetur eget, imperdiet a nibh. Duis aliquet accumsan scelerisque. In ac dolor urna. Proin tincidunt, enim a rutrum pretium, elit lorem rutrum tellus, nec semper augue lorem sit amet nunc. Praesent et ipsum velit, at porttitor velit. Proin blandit lacus risus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
100058,Dept of Education,46000,5/24/2005,10/8/2012,Cras non augue id turpis dignissim egestas.,"Proin nec nunc id lectus rhoncus facilisis eget eu nisl. Nam magna neque, vehicula ut scelerisque ut, semper id dui. Morbi sapien sapien, consectetur vitae bibendum quis, congue eu dolor. Donec molestie consequat elit, vel pellentesque dolor adipiscing in. Donec a dui tortor, ac rhoncus enim. Donec egestas, diam sit amet lobortis faucibus, turpis mi molestie dolor, vel ultricies tellus ante at neque."
100059,BBB,68000,6/14/2005,10/19/2012,"Cras non odio justo, vel facilisis lacus.","Nullam nisi nisi, imperdiet id tempus et, laoreet tincidunt urna. Vestibulum viverra tellus quis purus dapibus quis mattis purus viverra. Proin elementum fringilla enim at euismod. Etiam consectetur eros et eros imperdiet nec suscipit dui mollis. Cras pretium imperdiet diam ac sollicitudin. Nam imperdiet posuere nisl vel congue. Suspendisse sit amet velit sapien."
100060,ABC,34000,7/12/2005,11/5/2012,Cras porttitor dolor id diam sagittis et pharetra risus pretium.,"Etiam egestas enim non urna mollis accumsan. Nam quis adipiscing enim. Mauris in dui eget sapien tincidunt volutpat. In felis elit, ultricies eu condimentum at, placerat a erat. Sed vitae metus quis erat mollis tempor. Morbi malesuada erat eget quam rutrum aliquet. Praesent tellus nulla, commodo at interdum in, dignissim in tellus. In rhoncus mattis magna id aliquet. Nullam quis augue et lacus tristique dapibus. Proin volutpat vestibulum velit, ac molestie urna mollis sed."
100061,DDD,99000,9/12/2005,11/20/2012,Cras posuere lectus vel ligula tincidunt elementum.,"Aliquam erat volutpat. Integer semper turpis id magna convallis in pellentesque odio suscipit. Mauris imperdiet eros id mauris bibendum consequat. Vivamus ullamcorper luctus laoreet. Nulla porta viverra facilisis. Nulla cursus sapien eu elit placerat blandit. Duis urna urna, accumsan eget malesuada non, commodo sed metus. Vivamus mauris arcu, ultrices sit amet luctus at, consectetur id metus. Maecenas vel condimentum turpis. Proin vitae metus id dolor ullamcorper auctor. Maecenas lacus ipsum, euismod nec dictum sit amet, lobortis quis arcu. Vestibulum nec lorem eros, sed dictum nunc. Suspendisse odio dui, vulputate at posuere sed, interdum quis est. Sed ligula odio, pharetra in lobortis vel, vestibulum ut velit."
100062,NSF,2000,10/11/2005,11/30/2012,Cras sed nibh quis magna pretium cursus.,"Etiam nec nisi et nulla porttitor euismod eget laoreet odio. Aenean interdum, massa id rhoncus eleifend, velit neque ultrices urna, in volutpat dolor nisi at neque. Maecenas vitae justo eget lorem consequat mollis sit amet et ligula. Nullam elementum tellus convallis dolor varius tempus. Etiam pretium egestas ligula sed lobortis. Nullam elementum dolor tempor purus rutrum ut sollicitudin turpis laoreet. Curabitur consectetur condimentum varius. Sed sit amet enim nec arcu pretium tristique sit amet eu felis. Sed eleifend ultrices metus quis blandit. In dui risus, luctus non tempus rhoncus, dapibus sit amet lacus."
100063,BBB,72000,10/13/2005,12/27/2012,Cras sit amet ante aliquam nibh hendrerit ullamcorper.,"Duis aliquam laoreet fermentum. Praesent elementum lacus id odio cursus a ultrices ipsum scelerisque. Nulla vel egestas nisi. Nam tincidunt sollicitudin lacus, ut varius lacus lacinia eget. In hac habitasse platea dictumst. Sed aliquam lacinia pellentesque. Praesent euismod, risus ac tincidunt rutrum, orci odio ultrices augue, a condimentum lorem ipsum ac risus. Aenean eget leo a purus posuere scelerisque. Suspendisse potenti. Nam quis nisi vitae lectus auctor porta. Sed tempor congue est sed pulvinar. Mauris vel ipsum orci."
100064,ABC,3000,10/26/2005,2/28/2013,Cras sit amet felis eu odio malesuada lacinia.,"Integer semper dictum dui eu porttitor. Donec ornare consectetur orci, nec placerat urna aliquet at. Integer lobortis enim et purus posuere condimentum. Suspendisse sit amet massa orci. Etiam lobortis, mauris non ullamcorper suscipit, velit risus luctus est, a varius felis mauris ac lorem. Suspendisse sed nisi dolor, vel vehicula dui. Praesent non sem velit, eu auctor ipsum. Etiam blandit, eros in rutrum vestibulum, mi est aliquet sem, in placerat tortor nibh nec mi. Vivamus quis felis sed elit vestibulum malesuada vitae a ante. In a dui lectus. Pellentesque fringilla vulputate turpis vel feugiat. Ut convallis varius lacus, vitae hendrerit tellus adipiscing at. Phasellus et consequat erat. Donec interdum facilisis viverra."
100065,DDD,22000,12/26/2005,3/18/2013,"Cras ut nisi nisl, sit amet laoreet massa.","In tristique mi eget nunc ultrices posuere. Donec aliquet, nibh nec rhoncus bibendum, nibh arcu volutpat eros, sed pretium risus mi non ipsum. Curabitur adipiscing tristique augue vitae porta. Nam tempus elit et augue posuere convallis ut ut quam. Mauris semper nulla in risus rutrum posuere. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse justo neque, pretium in malesuada a, interdum ut lorem. Phasellus tincidunt dictum tellus, sit amet tincidunt ipsum malesuada at. Sed at libero eu lacus ultricies condimentum iaculis in dolor. Duis sed odio quis ipsum lobortis rhoncus ut at tortor. Sed nec lacus et eros semper sodales at ac lacus. Suspendisse tincidunt viverra condimentum. Proin elit magna, interdum quis consequat sit amet, rutrum in diam. Curabitur congue condimentum massa in faucibus."
100066,EFG,39000,1/9/2006,3/21/2013,Curabitur a orci in augue adipiscing tempor sit amet vel quam.,"Nulla imperdiet elit at libero interdum in lacinia enim molestie. Nunc accumsan tempor erat. Donec tristique nibh blandit est luctus suscipit. Suspendisse lorem felis, volutpat eu rhoncus nec, pellentesque quis ante. Aliquam eget ante dui. Vivamus massa ante, mattis mattis ultricies vel, faucibus in sem. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Integer quam urna, mattis vel elementum a, iaculis id leo. Donec purus enim, ornare nec imperdiet eu, consectetur vestibulum est. Mauris id est at nibh tristique vestibulum. Donec nec posuere erat. Sed pulvinar, lorem ac posuere gravida, ipsum elit ultricies dolor, a pharetra tellus enim eu sapien. Aenean tempor, eros id laoreet porta, elit ante accumsan quam, eu bibendum leo velit sit amet arcu. Aliquam sed urna nulla, in auctor sapien."
100067,Dept of Education,508000,1/26/2006,3/28/2013,Curabitur at est vel sem ultrices cursus.,"Integer semper, dolor nec pharetra venenatis, mauris risus pharetra sapien, vitae rhoncus ipsum felis blandit ipsum. Duis commodo tincidunt libero, eget gravida felis fermentum ut. Sed pharetra diam vehicula metus sodales quis tempus elit viverra. Curabitur dolor dui, fermentum suscipit congue id, venenatis sed elit. Praesent feugiat, lacus a elementum vestibulum, libero nunc dignissim risus, vitae condimentum eros dui eget turpis. Integer mollis ante eu turpis vestibulum tincidunt. Sed ut turpis in neque auctor fermentum et a ipsum. Aliquam malesuada arcu enim. Vestibulum ullamcorper sapien nec nibh aliquet eu posuere nisl iaculis. Nullam sed est et erat aliquet facilisis sit amet at mi. Aliquam magna elit, tincidunt quis venenatis vel, congue eget tortor. Cras urna urna, hendrerit vel dapibus quis, porta non nisl. In eu diam nunc, non fringilla nulla."
100068,BBB,960000,3/29/2006,6/4/2013,Curabitur auctor erat et nisl consectetur aliquam.,"Maecenas consequat feugiat libero, sed tempus odio imperdiet ut. Nunc imperdiet sapien sit amet urna eleifend iaculis. Proin nisl tortor, fermentum eu accumsan vel, fringilla at nulla. Integer sem metus, ornare rhoncus adipiscing sed, pharetra eget ligula. Suspendisse ligula ligula, vulputate eu sagittis a, porta id lorem. Aenean quis risus justo, et venenatis libero. Proin vehicula justo sed erat luctus porta."
